Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"Silva, Sheldon William||Fonseca, Leticia Rodrigues da Fonseca||Silva, Marcelo Ribeiro da Silva||Portugal Júnior, Pedro dos Santos||Piurcosky, Fabrício Pelloso",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,IMPACTOS DO E-LEARNING EM UM PROGRAMA DE EDUCAÇÃO CORPORATIVA,Não informado pela instituição,Universidade Federal do Espírito Santo (UFES),UFES,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://periodicos.ufes.br/ppgadm/article/view/20790
"Sant’anna, Danilo Barbosa de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Precisamos falar sobre educação corporativa na Advocacia Pública,2019,Superior Tribunal de Justiça (STJ),STJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://bdjur.stj.jus.br/jspui/handle/2011/151259
"Rodrigues, Ana Paula Lima||Ferreira Costa, Débora Vargas||Paradela Ferreira, Victor Claudio",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,EDUCAÇÃO CORPORATIVA POR MEIO DE CONVÊNIOS ENTRE UNIVERSIDADE E EMPRESAS PARCEIRAS,Não informado pela instituição,Faculdade Sul Fluminense (FASF),FASF,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://revistavalore.emnuvens.com.br/valore/article/view/1376
"Oliveira, Regiane da Silva||Duarte, Francisco Ricardo",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,O Papel Estratégico da Educação Corporativa no Desenvolvimento do Capital Humano: Um estudo bibliográfico,Não informado pela instituição,Instituto Persona de Educação Superior,IPES,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,"Educação Corporativa, Universidade Corporativa, Gestão do Conhecimento",Não informado pela instituição,https://idonline.emnuvens.com.br/id/article/view/1308
"Cavalcante, Bruno Cavalcante Scotelaro de Souza Scotelaro",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,EDUCAÇÃO CORPORATIVA EM HOTÉIS: UM ESTUDO DE CASO NO HOTEL SESC COPACABANA,Não informado pela instituição,Universidade Estadual de Santa Cruz (UESC),UESC,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://periodicos.uesc.br/index.php/cultur/article/view/999
"Silva, Anicleide Pereira||Freitas, Florence Cavalcanti Heber Pedreira||D’Ambrosio, Izabel Silva Souza",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,DO TREINAMENTO E DESENVOLVIMENTO PARA A EDUCAÇÃO CORPORATIVA: TRANSIÇÕES PARADIGMÁTICAS NA CONSTRUÇÃO DO SABER NOS ESPAÇOS ORGANIZACIONAIS,Não informado pela instituição,Sociedade Brasileira de Estudos Organizacionais (SBEO),SBEO,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,"Estudos Organizacionais, Administração, Educação||Controvérsias paradigmáticas; Campos científico/organizacional; Treinamento e desenvolvimento; Educação corporativa.",Não informado pela instituição,https://rbeo.emnuvens.com.br/rbeo/article/view/345
"Costa, Jorge Ferreira da||Oliveira, Edson Aparecida de Araujo Querido||Moraes, Marcela Barbosa de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,VISÃO DE JUIZES TITULARES EM RELAÇÃO À CONTRIBUIÇÃO DO SISTEMA DE EDUCAÇÃO CORPORATIVA NO TRIBUNAL DE JUSTIÇA DO MARANHíO,Não informado pela instituição,Universidade de Taubaté (UNITAU),UNITAU,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Gestão. Desenvolvimento Regional. Educação Corporativa. Planejamento Estratégico. Tribunal de Justiça do Maranhão.||Management. Regional Development. Corporative Education. Strategic Planning. Court of Maranhão.,Não informado pela instituição,http://www.rbgdr.net/revista/index.php/rbgdr/article/view/3604
