Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"dos Santos, Kamila Cavalcante||Lopes, Jessica Guimarães||Costa, Andréia Alves",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,MAPEAMENTO TECNOLÓGICO DE PEDIDOS DE PATENTES RELACIONADOS À UTILIZAÇÃO DAS MICROALGAS,Não informado pela instituição,Universidade Federal da Bahia (UFBA),UFBA,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,microalgas||biodiesel||análise de patentes||prospecção tecnológica,Não informado pela instituição,https://periodicos.ufba.br/index.php/nit/article/view/23036
"Gomes do Nascimento, Ticiano||Peixoto Rosário, Francisco José||Alves de Lima, Araken||Quintela Souza de Moraes, Izadora||Santos Silva de Lira, Lilian Maria||Celerino de Moraes Porto, Isabel Cristina||Oliveira de Matos, Erivaldo||Cavalcante Amélio Silva Cedrim, Paula||Diniz Basílio Júnior, Irinaldo||Barros Fidelis de Moura, Maria Aline||Setton Sampaio Silveira, Eduardo||Tonholo, Josealdo",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,PATENTES E APROPRIAÇÃO DE VALOR DA INOVAÇÃO: O CASO DA PRÓPOLIS,Não informado pela instituição,Universidade Federal da Bahia (UFBA),UFBA,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://periodicos.ufba.br/index.php/nit/article/view/23107
"Costa, Helen Kelle dos Santos||Lima, Leandro Cordeiro Pereira de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,FIBRA DE COCO: ESTUDO EXPLORATÓRIO SOBRE REGISTRO DE PATENTES,Não informado pela instituição,Universidade Federal da Bahia (UFBA),UFBA,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://periodicos.ufba.br/index.php/nit/article/view/23213
"Ferreira Neto,Paula Teixeira Pinto||Oliveira,Vanessa da Gama||Pimenta,Fabrícia Pires",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,NOVAS TECNOLOGIAS PARA O TRATAMENTO DA TUBERCULOSE: O QUE AS PATENTES NOS DIZEM,Não informado pela instituição,Sociedade Brasileira de Química (SBQ),SBQ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,tuberculosis||Mycobacterium tuberculosis||antitubercular agents||patent,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422020000700998
"Siekierski,Paulette||Lima,Manolita Correia||Borini,Felipe Mendes",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Mobilidade acadêmica internacional e depósito de patentes no país de origem,Não informado pela instituição,Fundação Getulio Vargas (FGV),FGV,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,mobilidade acadêmica internacional||educação||pesquisa aplicada||inovação tecnológica||patentes,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122019000300560
"da Rosa Ferreira, Maria Paula||Mariano da Rocha Barcellos Terra, Rosane Beatris||Silva De Gregori, Isabel Christine||Albino da Rocha, Maria Célia",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Patentes e sementes transgênicas: o viés econômico-mercadológico,Não informado pela instituição,Pontifícia Universidade Católica do Paraná (PUC-PR),PUC_PR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Patentes||Sementes transgênicas||Transgênicos||Viés econômico-mercadológico.,Não informado pela instituição,https://periodicos.pucpr.br/direitoeconomico/article/view/26786
"Teixeira, Alessandra Vanessa",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,OS PROGRAMAS DE PATENTES VERDES FRENTE AO DESENVOLVIMENTO SUSTENTÁVEL,Não informado pela instituição,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),CONPEDI,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Desenvolvimento Sustentável; Objetivos do Desenvolvimento Sustentável; Patentes Verdes; Sustentabilidade; Tecnologias Verdes.,Não informado pela instituição,http://www.indexlaw.org/index.php/revistadipic/article/view/4046
"Ayub, Nicole Ísis||Bacic, Miguel Juan",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Patentes: justificativas econômicas e seus efeitos sobre a inovação,Não informado pela instituição,Universidade Católica de Brasília (UCB),UCB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://portalrevistas.ucb.br/index.php/EALR/article/view/9655
"Silva, Marina Bezerra da||Leite, Rafael Ângelo Santos||Russo, Suzana Leitão||Aragão, Iracema Machado de||Santana, José Ricardo de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,DEPÓSITOS DE PATENTES E VALOR DE MERCADO: O CASO DA PETROBRÁS,Não informado pela instituição,Pontifícia Universidade Católica de Minas Gerais (PUC Minas),PUC_MINS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Ativos intangíveis||Valor de mercado||Depósitos de patentes||Petrobras,Não informado pela instituição,http://periodicos.pucminas.br/index.php/economiaegestao/article/view/19890
"Putti,Fernando Ferrari||Góes,Bruno César||Gabriel Filho,Luís Roberto Almeida||Sartori,Diogo de Lucca||Chacur,Marcelo George Mungai||Cremasco,Camila Pires",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Análise da evolução do número de patentes relacionadas ao processo de ordenha,Não informado pela instituição,Instituto de Tecnologia de Alimentos (ITAL),ITAL,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,INPI||Tecnologia||Produção||Leite,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232018000100449
