Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"de Almeida, Marco Antônio||Bocardo Aita, Tatiana",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"Usuários da informação, tecnologia e educação",Não informado pela instituição,Pontifícia Universidade Católica de Campinas (PUC Campinas),PUC_CAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://periodicos.puc-campinas.edu.br/transinfo/article/view/6241
"Roza, Rodrigo Hipólito",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"Ciência da informação, tecnologia e sociedade",Não informado pela instituição,Universidade Federal do Rio Grande (FURG),FURG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,ciência da informação||interdisciplinaridade||tecnologia da informação e comunicação||sociedade.,Não informado pela instituição,https://periodicos.furg.br/biblos/article/view/7546
"Camargo Castro, Alexandre||Aída Sirotheau Corrêa Jannuzzi, Celeste||Mansor de Mattos, Fernando Augusto",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Produção e disseminação de informação tecnológica: a atuação da Inova - Agência de Inovação da UNICAMP,Não informado pela instituição,Pontifícia Universidade Católica de Campinas (PUC Campinas),PUC_CAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://periodicos.puc-campinas.edu.br/transinfo/article/view/6285
