Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"Duarte NADAES, Adriana||Erichsen Nassif BORGES, Mônica",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Inteligência competitiva e Internet: um processo otimizado por agentes inteligentes - um estudo parcial de caso,Não informado pela instituição,Pontifícia Universidade Católica de Campinas (PUC Campinas),PUC_CAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,inteligência competitiva||estratégia organizacional||pequenas e médias empresas||Internet||agentes inteligentes,Não informado pela instituição,https://periodicos.puc-campinas.edu.br/transinfo/article/view/6348
"Santos, Carlos Eduardo Moreno dos||Bernardo, Cristiane Hengler Corrêa||Machado, João Guilherme de Camargo Ferraz",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Inteligência Competitiva no âmbito da gestão organizacional: uma revisão bibliográfica sistemática de 2006 a 2017,Não informado pela instituição,Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP),UNESP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,inteligencia competitiva,Não informado pela instituição,https://revistas.marilia.unesp.br/index.php/bjis/article/view/8147
"RODRIGUES, Vitor Pinheiro",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Gestão da qualidade e inteligência competitiva: uma combinação estratégica para elevar o nível de qualidade em todos os setores da organização,Não informado pela instituição,Centro Universitário de Maringá (UNICESUMAR),UniCesumar,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Estratégia Competitiva||Gestão da Qualidade||Inteligência Competitiva||CNPQ::ENGENHARIAS::ENGENHARIA MECANICA,Não informado pela instituição,http://rdu.unicesumar.edu.br/handle/123456789/7701
"Silva,Cassiane Barbosa da||Pereira,Frederico Cesar Mafra||Carvalho,Rodrigo Baroni de||Jordão,Ricardo Vinícius Dias",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Proposição e validação de um modelo de inteligência competitiva específico para Instituições de Ensino Superior (IES) privadas,Não informado pela instituição,Universidade Federal de Minas Gerais (UFMG),UFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Inteligência Competitiva||Estratégia Competitiva||Instituições de Ensino Superior Privadas||Modelo de IC para IES,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362018000100175
"Vidigal,Frederico||Gonçalves,Carlos Alberto||Silva,Joaquim Ramos",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Inteligência competitiva e capacidade de inovação: uma análise de uma indústria de classe mundial no setor automotivo de veículos pesados,Não informado pela instituição,Universidade Federal de Minas Gerais (UFMG),UFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,"Inteligência Competitiva, Inovação||Indústria automotiva||produtos||processos",Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362018000300206
"Garcia,Leonardo Guimarães",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Ensino de inteligência competitiva no apoio à busca do sucesso profissional de graduandos em biblioteconomia e ciência da informação,Não informado pela instituição,Universidade Federal de Minas Gerais (UFMG),UFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Inteligência competitiva||ensino||metodologias ativas||sucesso profissional||Biblioteconomia e Ciência da Informação,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362020000200133
"Ottonicar,Selma Letícia Capinzaiki||Barbosa,Everaldo Henrique dos Santos||Yafushi,Cristiana Aparecida Portero||Moraes,Cássia Regina Bassan",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Competência midiática no processo de inteligência competitiva voltada ao uso das mídias sociais: modelo de inter-relação aplicável nas organizações,Não informado pela instituição,Universidade Federal de Minas Gerais (UFMG),UFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Competência midiática||Inteligência competitiva;Redes Sociais||Vantagem Competitiva||Revisão Sistemática da Literatura,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362021000200037
"Melo, Janaina dos Santos||Melis, Maria Fernanda Mascarenhas dos Santos||Santos, Levi||Malveira, Sandra||Nascimento, Paulo Gustavo Barboni Dantas||Ghesti, Grace Ferreira",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,UTILIZAÇÃO DE FERRAMENTAS DE INTELIGÊNCIA COMPETITIVA PARA DELINEAR ESTRATÉGIAS DE POSICIONAMENTO DE MERCADO DE EQUIPAMENTOS ELETROMÉDICOS DE MONITORAMENTO,Não informado pela instituição,Universidade Federal da Bahia (UFBA),UFBA,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://periodicos.ufba.br/index.php/nit/article/view/23019
"da Silva Marques, Lidiany Kelly||Vidigal, Frederico",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Prosumers e redes sociais como fontes de informação mercadológica: uma análise sob a perspectiva da inteligência competitiva em empresas brasileiras,Não informado pela instituição,Pontifícia Universidade Católica de Campinas (PUC Campinas),PUC_CAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://periodicos.puc-campinas.edu.br/transinfo/article/view/5947
"Pomim VALENTIM, Marta Lígia||Rosecler ALCARÁ, Adriana||Nogueira CERVANTES, Brígida Maria||Leão de CARVALHO, Elizabeth||Dominguez GARCIA, Heliéte||DALMAS, José Carlos||Gorri MOLINA, Letícia||Ferreira LENZI, Lívia Aparecida||CATARINO, Maria Elisabete||TOMAÉL, Maria Inês",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Pesquisa em inteligência competitiva organizacional: utilizando a análise de conteúdo para a coleta e análise de dados – Parte I,Não informado pela instituição,Pontifícia Universidade Católica de Campinas (PUC Campinas),PUC_CAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,inteligência competitiva||metodologia de pesquisa||análise de conteúdo||análise léxica||análise categorial||coleta e análise de dados,Não informado pela instituição,https://periodicos.puc-campinas.edu.br/transinfo/article/view/6356
"Pomim VALENTIM, Marta Lígia||Rosecler ALCARÁ, Adriana||Nogueira CERVANTES, Brígida Maria||Leão de CARVALHO, Elizabeth||Dominguez GARCIA, Heliéte||DALMAS, José Carlos||Gorri MOLINA, Letícia||Ferreira LENZI, Lívia Aparecida||CATARINO, Maria Elisabete||TOMAÉL, Maria Inês",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Pesquisa em inteligência competitiva organizacional: utilizando a análise de conteúdo para a coleta e análise de dados – Parte II,Não informado pela instituição,Pontifícia Universidade Católica de Campinas (PUC Campinas),PUC_CAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,inteligência competitiva||metodologia de pesquisa||análise de conteúdo||análise léxica||análise categorial||coleta e análise de dados,Não informado pela instituição,https://periodicos.puc-campinas.edu.br/transinfo/article/view/6360
"Mafra Pereira, Frederico Cesar||Jeunon, Ester Eliane||Barbosa, Regiane Santos||Duarte, Leonora da Cunha",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Inteligência Competitiva como Suporte à Estratégia Empresarial em Micro e Pequenas Empresas: Um Estudo na Aerotrópole de Belo Horizonte,Não informado pela instituição,Revista Ibero-Americana de Estratégia (RIAE),RIEOEI,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Administração; Ciência da Informação; Inteligência Competitiva; Estratégia Empresarial||Micro e Pequenas Empresas; Inteligência Competitiva; Estratégia Empresarial; Competitividade; Aerotrópole de Belo Horizonte.||Small and Micro Enterprises; Competitive Intelligence; Business Strategy; Competitiveness; Belo Horizonte Aerotropolis.,Não informado pela instituição,https://periodicos.uninove.br/riae/article/view/10890
Frederico Vidigal||Carlos Alberto Gonçalves||Joaquim Ramos Silva,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Inteligência competitiva e capacidade de inovação: uma análise de uma indústria de classe mundial no setor automotivo de veículos pesados.,2018,Universidade Federal de Minas Gerais (UFMG),UFMG,Brasil,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,FCE - DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Inteligência competitiva||Inovação||Indústria automotiva||Produtos||Processos.,Não informado pela instituição,http://dx.doi.org/10.1590/1981-5344/3176||http://hdl.handle.net/1843/44915
Paulo Henrique de Oliveira||Carlos Alberto Gonçalves||Cleiton Martins Duarte,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Eficiência em inteligência competitiva com aplicação da análise envoltória de dados (DEA): um estudo na indústria digital,2018,Universidade Federal de Minas Gerais (UFMG),UFMG,Brasil,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,FCE - DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Inteligência competitiva||Indústria digital||Análise Envoltória de Dados,Não informado pela instituição,http://hdl.handle.net/1843/44891
"Cortes, Pedro Luiz",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"A relação da tomada de decisão com a inteligência competitiva e com a gestão do conhecimento, na produção acadêmica a partir do ano 2000",Não informado pela instituição,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,INFORMAÇÃO,Não informado pela instituição,http://doi.org/10.21747/16463153/41a11
"Zatta, Fernando Nascimento||Gonçalves, Wellington||Freitas, Rodrigo Randow de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,O SUCESSO DA IMPLANTAÇÃO DE INTELIGÊNCIA COMPETITIVA EM PEQUENAS E MÉDIAS EMPRESAS: ANÁLISE DE FATORES CRÍTICOS: THE SUCCESS OF IMPLEMENTATION OF COMPETITIVE INTELLIGENCE IN SMALL AND MEDIUM-SIZED ENTERPRISES: ANALYSIS OF CRITICAL FACTORS,Não informado pela instituição,Universidade Federal do Espírito Santo (UFES),UFES,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://periodicos.ufes.br/bjpe/article/view/27725
