Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"Araújo, Alan Pereira de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,O Inmetro e as taxas de origem metrológica,2022,Superior Tribunal de Justiça (STJ),STJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://bdjur.stj.jus.br/jspui/handle/2011/160403
"Leão, João Pedro Vasconcelos Pestana||do Ceu Ferreira, Maria||Navas, Helena V. G.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Aspetos metrológicos na manutenção de equipamentos médicos,2019,Agência para a Sociedade do Conhecimento (UMIC) - FCT - Sociedade da Informação,RCAAP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://hdl.handle.net/10362/97393
"Almeida,Fabrício Alves de||Gomes,José Henrique de Freitas||Gomes,Guilherme Ferreira||Romão,Estevão Luiz||Balestrassi,Pedro Paulo",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Análise das Causas de Variação Atribuídas a Diferentes Instrumentos Metrológicos para Verificação das Características Geométricas de um Processo de Soldagem por Pontos,Não informado pela instituição,Associação Brasileira de Soldagem (ABS),ABS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Profundidade de indentação||Diâmetro do ponto||Análise do sistema de medição||GR&amp;R||Variabilidade,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242018000400485
