Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"SOUZA, Arian Félix de||OLIVEIRA, Luan Amann||FERREIRA, Pedro Gerstner||ALMEIDA JUNIOR, Edson Ribeiro de Britto de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,PRINCÍPIOS TEÓRICOS DA GESTÃO TECNOLÓGICA 4.0,Não informado pela instituição,Centro Universitário de Maringá (UNICESUMAR),UniCesumar,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Indústria 4.0||Profissional 4.0||Gestão tecnológica,Não informado pela instituição,http://rdu.unicesumar.edu.br/handle/123456789/3771
"Fabricio, Márcio Minto",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Esta nova edição da Gestão & Tecnologia ... [Editorial],Não informado pela instituição,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,DESIGN,Não informado pela instituição,https://www.revistas.usp.br/gestaodeprojetos/article/view/183107/169834
"Fabricio, Márcio Minto",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,É com satisfação que os editores da Gestão & Tecnologia de Projetos [GTP] [Editorial],Não informado pela instituição,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,EDITORIAL,Não informado pela instituição,https://www.revistas.usp.br/gestaodeprojetos/article/view/199489/183560
