Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"Kanitz,Andréia||Garcez,Pedro",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,RESOLUÇÃO DE PROBLEMAS E CONSTRUÇÃO CONJUNTA DE CONHECIMENTO NA FALA-EM-INTERAÇÃO EM CENÁRIO DE DESENVOLVIMENTO TECNOLÓGICO,Não informado pela instituição,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,resolução de problemas||construção conjunta de conhecimento||interação,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S0103-18132020000201259
"Bernardelli, Julio Cezar||Dias, Maria Sara de Lima",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Os paradigmas sociotécnicos da educação: a evolução da relação educação/trabalho com o desenvolvimento tecnológico,Não informado pela instituição,Centro Universitário Internacional (UNINTER),UNINTER,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://www.revistasuninter.com/revistaorganizacaosistemica/index.php/organizacaoSistemica/article/view/457
"Camargo, Caroline Leite de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"DESENVOLVIMENTO TECNOLÓGICO, OS DIREITOS DE PERSONALIDADE E OS NOVOS CONTORNOS E POSSIBILIDADES PARA A FILIAÇÃO NO DIREITO BRASILEIIRO",Não informado pela instituição,Universidade Tiradentes (UNIT),UNIT,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Direitos de personalidade. Responsabilidade. Limites legais.,Não informado pela instituição,https://periodicos.set.edu.br/direito/article/view/6657
"Gama, Fabio||Bastos, Suzana||Cardoso, Guilherme",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,CAPITAL HUMANO E GERAÇÃO DE INOVAÇÃO: UMA ANÁLISE PARA PAÍSES EM DIFERENTES NÍVEIS DE DESENVOLVIMENTO TECNOLÓGICO,Não informado pela instituição,Centro Universitário Univates (UNIVATES),UNIVATES,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,capital humano; inovação; desenvolvimento.,Não informado pela instituição,http://www.univates.br/revistas/index.php/estudoedebate/article/view/2167
"Brayner dos Santos, Normandia de Jesus||Campos dos Santos, Mario Jorge",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,MAPEAMENTO DO DESENVOLVIMENTO TECNOLÓGICO DE PATENTES VERDES RELACIONADAS AO GERENCIAMENTO DE RESÍDUOS,Não informado pela instituição,Universidade Federal da Bahia (UFBA),UFBA,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://periodicos.ufba.br/index.php/nit/article/view/23201
"Rech,Norberto||Farias,Mareni Rocha",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Regulação sanitária e desenvolvimento tecnológico: estratégias inovadoras para o acesso a medicamentos no SUS,Não informado pela instituição,Associação Brasileira de Saúde Coletiva (ABRASCO),ABRASCO,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Assistência farmacêutica||Vigilância sanitária||medicamentos,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232021001105427
"de Souza Abreu, Jacqueline",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"Passado, presente e futuro da criptografia forte: desenvolvimento tecnológico e regulação",Não informado pela instituição,Centro Universitário de Brasília (UniCEUB),UNICEUB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,direito; direito administrativo; direito constitucional; políticas públicas||criptografia; whatsapp; apple; privacidade; segurança,Não informado pela instituição,https://www.publicacoesacademicas.uniceub.br/RBPP/article/view/4869
"Borges, Luise Castro||Machado, Diego de Queiroz",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,O Círculo: um estudo observacional dos conflitos entre o desenvolvimento tecnológico e os limites da privacidade,Não informado pela instituição,Universidade Tecnológica Federal do Paraná (UTFPR),UTFPR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Administração; Mercadologia.||Tecnologias; Privacidade; Estudo observacional; Análise fílmica; O Círculo.,Não informado pela instituição,https://periodicos.utfpr.edu.br/rts/article/view/8500
"Sousa, Susana Aires de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Um Direito Penal desafiado pelo desenvolvimento tecnológico: alguns exemplos a partir das neurociências e da inteligência artificial,2020,Superior Tribunal de Justiça (STJ),STJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://bdjur.stj.jus.br/jspui/handle/2011/150439
"Batista MARTINS, João||Campos da Rocha MIRANDA, Roberto",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Aprimoramento de estrategistas e decisores novatos: a gestão do conhecimento estratégico aplicada ao Centro de Apoio ao Desenvolvimento Tecnológico da Universidade de Brasília,Não informado pela instituição,Pontifícia Universidade Católica de Campinas (PUC Campinas),PUC_CAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://periodicos.puc-campinas.edu.br/transinfo/article/view/6182
"Aires de Sousa, Susana",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Um direito penal desafiado pelo desenvolvimento tecnológico: alguns exemplos a partir das neurociências e da inteligência artificial,Não informado pela instituição,Defensoria Pública da União (DPU),DPU,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Acesso à justiça e novas tecnologias,Não informado pela instituição,https://revistadadpu.dpu.def.br/article/view/460
"Rodrigues, Claudio Manuel",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Contribuições de Ludwik Fleck para a epistemologia da produção do conhecimento científico em ambientes acadêmicos relacionados ao desenvolvimento tecnológico e ao processo de inovação científica,2019,Fundação Oswaldo Cruz (FIOCRUZ),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://www.arca.fiocruz.br/handle/icict/51682
"Silva, Ayla Winnie Ramos da||Biegelmeyer, Renata",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Curcuma longa L. (Zingiberaceae): desenvolvimento tecnológico para aplicação como agente terapêutico auxiliar no tratamento de pacientes portadores da Doença de Alzheimer,2020,Fundação Oswaldo Cruz (FIOCRUZ),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://www.arca.fiocruz.br/handle/icict/48178
"Silva, Ayla Winnie Ramos da||Biegelmeyer, Renata",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Curcuma longa L. (Zingiberaceae): desenvolvimento tecnológico para aplicação como agente terapêutico auxiliar no tratamento de pacientes portadores da Doença de Alzheimer,2020,Fundação Oswaldo Cruz (FIOCRUZ),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://www.arca.fiocruz.br/handle/icict/43709
