Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"Andrade, Antonio Rodrigues de||Fuerth, Leonardo Ribeiro",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"Inovação, gestão e tecnologia da informação a serviço do Administrador no Conselho profissional do Rio de Janeiro",Não informado pela instituição,Universidade Federal do Rio Grande do Norte (UFRN),UFRN,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://revista.ibict.br/p2p/article/view/4335
"Andrade, Antonio Rodrigues de||Fuerth, Leonardo Ribeiro",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"Inovação, gestão e tecnologia da informação a serviço do Administrador no Conselho profissional do Rio de Janeiro",Não informado pela instituição,Instituto Brasileiro de Informação Ciência e Tecnologia,IBICT,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://revista.ibict.br/p2p/article/view/4335
"Martins, Maria de Fatima||Silva, Nicole Cavalcanti||Ouriques, Raquel Andrade de Barros||Cândido, Gesinaldo Ataíde",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Gestão e tecnologia em engenhos produtores de cachaça no brejo da Paraíba-Brasil,Não informado pela instituição,Universidade Tecnológica Federal do Paraná (UTFPR),UTFPR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Administração Privada; gestão e inovação.||Gestão; Tecnologia; Cachaça.,Não informado pela instituição,https://periodicos.utfpr.edu.br/revistagi/article/view/7490
"Souza, Ana Gabriela Rocha de||Gianezini, Miguelangelo||Watanabe, Melissa",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"Panorama do setor de tintas no Brasil: mercado, gestão e tecnologias para o segmento de tintas imobiliárias",Não informado pela instituição,Ensino Superior do Piauí (AESPI),AESPI,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,market orientation; Paints and pigments; Production Chains,Não informado pela instituição,http://www.revistageintec.net/index.php/revista/article/view/1110
"Santos*, Mateus Rocha dos||Perinotto**, André Riani Costa||Vieira***, Vinicius Boneli",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Empreendimentos Gastronômicos e a utilização de sistemas de gestão de tecnologias de informação e comunicação (TIC),2020-07-01,Agência para a Sociedade do Conhecimento (UMIC) - FCT - Sociedade da Informação,RCAAP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,ICT||attendance||tourist flow||marketing||TIC||atendimento||fluxo turístico||marketing,Não informado pela instituição,http://journals.openedition.org/cp/7596
"Winter, Eduardo||Santos, Deuzanira Lima dos||Dusek, Patrí­cia Maria||Luz, Mauro Catharino Vieira Da",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,GESTÃO DE TECNOLOGIAS DE CENTROS PÚBLICOS DE PESQUISA COMO POSSIBILIDADE DE INCREMENTO AO CRESCIMENTO ECONÔMICO E DESENVOLVIMENTO REGIONAL,Não informado pela instituição,Universidade de Taubaté (UNITAU),UNITAU,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Produtos tecnológicos. Núcleo de inovação Tecnológica. Centro público de pesquisa. Inovação industrial. Desenvolvimento econômico.,Não informado pela instituição,http://www.rbgdr.net/revista/index.php/rbgdr/article/view/5205
"Santos, Rita Cássia Silva dos||Guaraldo, Tamara de Souza Brandão",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Mediação da informação: reflexões sobre o ensino/aprendizagem remoto durante o período de isolamento social no curso de graduação em Gestão da Tecnologia de Informação em uma instituição privada de Bauru/SP,Não informado pela instituição,"Federação Brasileira de Associações de Bibliotecários, Cientistas da Informação e Instituições (FEBAB)",FEBAB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Mediação da Informação||Ensino remoto emergencial||Metodologias Ativas||Google Classroom,Não informado pela instituição,https://rbbd.febab.org.br/rbbd/article/view/1851
