Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"Torres,Vitor Alvarenga||Lange,Liséte Celina",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"Rotas tecnológicas, desafios e potencial para valoração energética de resíduo sólido urbano por coprocessamento no Brasil",Não informado pela instituição,Associação Brasileira de Engenharia Sanitária e Ambiental (ABES),ABES,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,combustível derivado de resíduos||tratamento térmico||pré-tratamento||poder calorífico,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522022000100025
"Lima, Bárbara Sousa",Não informado pela instituição,"Rodrigues, Tatyane Souza Nunes||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Estudo da rota tecnológica da fração de vidro dos Resíduos Sólidos Urbanos (RSU) do Distrito Federal,2018-06-26,Universidade Católica de Brasília (UCB),UCB,Brasil,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Escola de Exatas, Arquitetura e Meio Ambiente",Engenharia Ambiental (Graduação),Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Rota tecnológica||Resíduos Sólidos Urbanos (RSU)||Fração de vidro||Reciclagem,Não informado pela instituição,https://repositorio.ucb.br:9443/jspui/handle/123456789/11619
"Araújo,Anderson Barbosa||Santos,André Bezerra dos",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"Análise econômica e ambiental da adoção de reatores UASB como alternativa de rota tecnológica para os futuros sistemas centralizados de Fortaleza, Ceará",Não informado pela instituição,Associação Brasileira de Engenharia Sanitária e Ambiental (ABES),ABES,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,estação de tratamento de esgoto||reator UASB||créditos de carbono||capital expenditure||operational expenditure,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522022000200357
